Transaction_ID,Customer_Name,Email,Age,Join_Date,Product_Category,Price,Quantity,Discount_Percent,Total_Amount,Shipping_State,Customer_Review_Score,Is_Premium_Member
TXN-23953,JANE SMITH,bob@.com,76,03/18/2021,Home_Garden,307.14,7.0,0.1,,california,2.0,
TXN-82904,dave  ,,70,Unknown,Clothing,198.36,3.0,0.09,,Texas,5.0,
TXN-82815,bob,alice_at_hotmail.com,53,2021-07-03,Electronics,363.92,10.0,0.12,,NY,5.0,
TXN-97708,dave  ,jane@yahoo.com,80,10/09/2020,Electronics,362.89,2.0,0.15,,teXas,2.0,0
TXN-94525,Alice_Jones,john@gmail.com,54,07/17/2022,Home_Garden,30.41,7.0,0.12,,N.Y.,4.0,Yes
TXN-95165, john doe ,jane@yahoo.com,70,Pending,CLOTHING,132.5,6.0,0.16,,teXas,-3.0,True
TXN-37601,dave  ,bob@.com,27,2020-01-23,Home_Garden,135.86,8.0,500.0,,TX,3.0,No
TXN-62519,JANE SMITH,alice_at_hotmail.com,71,24-09-2020,Home_Garden,469.38,8.0,0.03,,NY,10.0,False
TXN-28658,JANE SMITH,,35,06-10-2020,,418.66,5.0,0.11,,TX,5.0,Yes
TXN-68204,dave  ,alice_at_hotmail.com,73,2022-08-18,Electronics,187.88,7.0,0.07,,NY,4.0,1
TXN-99852,,charlie@gmail,66,2021-11-29,Home_Garden,59.43,1.0,0.18,,california,4.0,True
TXN-36509,,charlie@gmail,73,2021-01-13,elctronics ,71.12,6.0,0.25,,california,3.0,
TXN-83159,Charlie!,jane@yahoo.com,50,Unknown,Home & Garden,320.25,8.0,0.13,,N.Y.,5.0,
TXN-66095,bob,charlie@gmail,60,2021-09-24,,397.54,9.0,0.13,,NY,5.0,Y
TXN-60959,JANE SMITH,alice_at_hotmail.com,22,06/08/2021,Home_Garden,428.07,6.0,0.1,,California,1.0,False
TXN-85406,JANE SMITH,jane@yahoo.com,51,2022-01-05,Home & Garden,374.03,1.0,0.12,,NY,1.0,False
TXN-70077, john doe ,alice_at_hotmail.com,23,,Clothing,480.62,7.0,0.03,,,1.0,False
TXN-26779,bob,john@gmail.com,49,,Clothing,77.89,7.0,0.03,,CA,3.0,True
TXN-86963,bob,alice_at_hotmail.com,29,04/18/2020,Home & Garden,99.08,1.0,0.1,,Texas,4.0,True
TXN-97208,JANE SMITH,charlie@gmail,46,Pending,elctronics ,296.97,5.0,0.23,,teXas,3.0,False
TXN-49905,Alice_Jones,jane@yahoo.com,27,Pending,elctronics ,473.77,10.0,0.26,,california,5.0,0
TXN-41185,,jane@yahoo.com,53,01/05/2022,Home_Garden,,4.0,-0.1,,NY,4.0,Y
TXN-37428,,charlie@gmail,71,2022-09-06,Home & Garden,409.72,7.0,0.21,,New York,3.0,
TXN-81684, john doe ,charlie@gmail,22,Unknown,Home_Garden,25.3,1.0,0.21,,California,5.0,1
, john doe ,charlie@gmail,38,,CLOTHING,319.09,7.0,0.03,,N.Y.,2.0,N
TXN-53466,Charlie!,alice_at_hotmail.com,25,07/06/2021,Home & Garden,259.88,4.0,0.24,,TX,2.0,
TXN-12698,bob,jane@yahoo.com,40,01/02/2022,Home & Garden,326.26,5.0,0.06,,CA,5.0,No
TXN-77331, john doe ,jane@yahoo.com,55,08-06-2022,Electronics,19.0,2.0,0.19,,California,5.0,False
TXN-48252,Charlie!,alice_at_hotmail.com,21,,Electronics,228.13,10.0,0.19,,Texas,5.0,False
TXN-85892,bob,,68,11/28/2021,Clothing,241.14,5.0,0.17,,California,3.0,True
TXN-56803,,alice_at_hotmail.com,57,,,446.64,9.0,0.22,,,2.0,1
TXN-19599, john doe ,,35,Unknown,Electronics,190.8,9.0,0.03,,California,10.0,0
TXN-94185,Alice_Jones,charlie@gmail,33,02/09/2022,CLOTHING,$175.11,2.0,0.01,350.22,Texas,4.0,Y
TXN-78666,Charlie!,alice_at_hotmail.com,79,05-10-2020,elctronics ,322.67,1.5,0.21,,CA,2.0,False
TXN-36170,,bob@.com,64,05/07/2022,Electronics,231.29,5.0,0.22,,teXas,4.0,1
TXN-70987,bob,john@gmail.com,68,2020-06-10,,98.79,10.0,0.11,,teXas,3.0,True
TXN-10223,JANE SMITH,john@gmail.com,75,14-09-2020,Home & Garden,474.59,10.0,0.09,,N.Y.,5.0,0
TXN-60468,,john@gmail.com,19,2021-10-10,elctronics ,490.7,7.0,0.08,,Texas,4.0,0
TXN-53891,Charlie!,john@gmail.com,41,21-10-2020,CLOTHING,492.04,4.0,0.21,,N.Y.,5.0,Yes
TXN-42849, john doe ,bob@.com,55,Pending,Home & Garden,96.79,1.0,0.21,,N.Y.,4.0,True
TXN-81767,bob,john@gmail.com,47,08/19/2021,Electronics,419.97,6.0,0.27,,NY,4.0,Yes
TXN-99450,bob,bob@.com,33,2020-05-13,Clothing,373.16,1.0,0.01,,teXas,1.0,Yes
TXN-77581,bob,alice_at_hotmail.com,47,Pending,,203.71,-2.0,0.16,,Texas,4.0,False
TXN-87407,bob,charlie@gmail,67,03/28/2022,Home & Garden,118.29,10.0,0.07,,New York,4.0,False
TXN-40813,Charlie!,,19,01/01/2021,Home_Garden,318.67,8.0,0.26,,N.Y.,3.0,True
TXN-67368, john doe ,bob@.com,,Unknown,Clothing,305.59,7.0,0.13,,,4.0,False
TXN-19757,Alice_Jones,,50,06/01/2022,Home & Garden,374.07,5.0,0.02,,TX,2.0,0
TXN-98381,Charlie!,charlie@gmail,65,2022-06-25,elctronics ,238.59,4.0,0.02,,New York,3.0,No
TXN-80532,Alice_Jones,john@gmail.com,52,2022-01-20,CLOTHING,373.21,2.0,0.03,,New York,4.0,True
TXN-36920,Alice_Jones,alice_at_hotmail.com,66,03/22/2020,,$60.34,4.0,0.27,241.36,New York,4.0,True
TXN-31599,bob,john@gmail.com,48,Unknown,Clothing,474.46,1.0,0.28,,New York,2.0,False
TXN-13739,Charlie!,bob@.com,50,,Home_Garden,350.16,5.0,0.22,,CA,5.0,False
TXN-30910,Alice_Jones,,,2021-10-13,Clothing,Free,6.0,0.01,,,3.0,No
TXN-80614,JANE SMITH,,35,01-05-2022,CLOTHING,163.9,10.0,0.11,,N.Y.,3.0,No
TXN-72650,Alice_Jones,charlie@gmail,28,24-11-2020,elctronics ,419.52,8.0,0.23,,Texas,5.0,0
TXN-48797,Charlie!,bob@.com,73,Pending,Electronics,328.09,8.0,-0.1,,N.Y.,1.0,True
TXN-64924,dave  ,alice_at_hotmail.com,58,28-04-2021,Home_Garden,436.84,9.0,0.08,,CA,3.0,Yes
TXN-36772,dave  ,bob@.com,N/A,2020-09-02,Electronics,,7.0,0.14,,CA,1.0,0
TXN-48814,JANE SMITH,charlie@gmail,46,Pending,Home_Garden,457.48,1.0,0.03,,california,5.0,No
TXN-64821,dave  ,jane@yahoo.com,47,02/05/2022,Home & Garden,403.3,7.0,0.24,,Texas,2.0,False
TXN-70728,Alice_Jones,jane@yahoo.com,30,2020-06-21,,447.05,4.0,0.16,,NY,2.0,False
TXN-62678,,bob@.com,63,,Home & Garden,289.6,6.0,0.13,,Texas,1.0,1
TXN-67411,Charlie!,john@gmail.com,57,2021-11-17,Home_Garden,491.8,3.0,0.14,,teXas,4.0,True
TXN-40777,JANE SMITH,bob@.com,51,2022-02-27,elctronics ,278.33,2.0,0.23,,CA,5.0,True
TXN-65945,,charlie@gmail,-5,2022-01-30,Home_Garden,56.09,3.0,0.19,,NY,1.0,N
TXN-47712,Alice_Jones,,63,01/12/2020,Home_Garden,142.59,3.0,0.1,,,4.0,True
,Charlie!,jane@yahoo.com,,2020-03-14,elctronics ,254.86,10.0,0.27,,,5.0,False
TXN-45145,dave  ,john@gmail.com,41,2021-04-07,Home_Garden,Free,7.0,,,Texas,3.0,N
TXN-66970,bob,jane@yahoo.com,N/A,Unknown,Clothing,44.59,10.0,0.08,,TX,4.0,Y
TXN-66970,Alice_Jones,,49,01/14/2020,Home_Garden,188.7,8.0,0.21,,TX,5.0,1
TXN-41857,Alice_Jones,,50,Unknown,Home_Garden,361.68,7.0,0.01,,,2.0,False
TXN-46592,bob,alice_at_hotmail.com,32,,Home_Garden,206.62,4.0,0.0,,teXas,5.0,N
TXN-27282,bob,john@gmail.com,58,Unknown,Home & Garden,283.26,7.0,0.13,,New York,1.0,False
TXN-29838, john doe ,,49,21-03-2021,Home & Garden,327.39,6.0,0.06,,TX,4.0,Yes
,,,39,30-11-2021,Clothing,137.46,6.0,0.04,,N.Y.,3.0,
TXN-12494,dave  ,alice_at_hotmail.com,36,Pending,Home & Garden,327.91,8.0,0.2,,CA,,Yes
TXN-22862,,alice_at_hotmail.com,51,,CLOTHING,94.91,1.5,0.28,,CA,4.0,True
TXN-76705,dave  ,jane@yahoo.com,73,18-02-2022,,266.82,6.0,0.27,,CA,5.0,
,Charlie!,jane@yahoo.com,-5,2021-12-02,elctronics ,36.93,6.0,0.23,,Texas,0.0,N
TXN-52036,Charlie!,alice_at_hotmail.com,53,24-01-2021,,$226.63,4.0,0.25,22663.0,TX,1.0,False
,bob,alice_at_hotmail.com,29,14-07-2020,elctronics ,396.55,3.0,0.2,,NY,5.0,True
TXN-19341,bob,jane@yahoo.com,N/A,25-07-2020,,35.46,6.0,0.14,,New York,2.0,0
TXN-82758,bob,bob@.com,49,2021-09-03,elctronics ,492.74,6.0,0.01,,NY,2.0,N
TXN-95823, john doe ,alice_at_hotmail.com,52,2020-08-01,,376.36,8.0,0.29,,california,2.0,1
TXN-28113,Charlie!,charlie@gmail,N/A,2022-02-17,Clothing,205.05,2.0,0.23,,NY,2.0,False
TXN-66178,bob,john@gmail.com,41,Pending,Electronics,79.15,10.0,0.1,,Texas,1.0,True
TXN-27576,,charlie@gmail,80,2021-12-27,,41.96,7.0,0.02,,California,1.0,False
TXN-87190, john doe ,alice_at_hotmail.com,43,12/19/2021,Electronics,176.84,9.0,0.04,,California,2.0,Y
TXN-65871,JANE SMITH,,53,22-06-2020,CLOTHING,$491.35,9.0,0.14,4422.15,california,5.0,Y
TXN-66742,Alice_Jones,bob@.com,52,2021-03-17,CLOTHING,164.33,6.0,0.06,,New York,4.0,False
TXN-45221,Charlie!,jane@yahoo.com,79,2022-05-31,Home & Garden,374.23,10.0,0.09,,california,5.0,
TXN-34713,bob,alice_at_hotmail.com,52,09/22/2021,Clothing,Free,7.0,0.11,,New York,1.0,False
TXN-46910,JANE SMITH,,23,23-08-2022,elctronics ,156.75,8.0,0.2,,Texas,4.0,0
TXN-99886,bob,john@gmail.com,71,11/29/2021,elctronics ,415.21,6.0,0.28,,,2.0,True
TXN-92135,dave  ,,60,2021-01-18,Electronics,372.93,7.0,0.23,,New York,4.0,False
TXN-67673, john doe ,alice_at_hotmail.com,43,04/20/2021,Home_Garden,300.93,6.0,0.16,,NY,5.0,Y
TXN-67673,dave  ,,32,2022-03-14,CLOTHING,275.02 USD,8.0,,2200.16,california,2.0,False
TXN-88577,,john@gmail.com,74,05/25/2021,CLOTHING,378.2,10.0,0.09,,TX,3.0,No
TXN-65265,bob,john@gmail.com,,04/28/2022,Clothing,56.91,9.0,0.21,,,2.0,
TXN-24945,bob,alice_at_hotmail.com,,11-05-2022,Clothing,256.28,10.0,0.22,,,5.0,
TXN-39630,JANE SMITH,charlie@gmail,58,Unknown,Electronics,257.42,1.0,0.22,,California,,True
TXN-28655,bob,alice_at_hotmail.com,18,10/26/2021,CLOTHING,324.69,7.0,0.13,,California,2.0,No
TXN-93725, john doe ,,30,05/13/2022,Electronics,383.36,3.0,0.29,,California,1.0,False
,JANE SMITH,charlie@gmail,29,Pending,elctronics ,114.11,3.0,0.14,,TX,3.0,True
,dave  ,,43,2021-02-19,Home_Garden,,2.0,0.09,,California,1.0,Yes
TXN-44162, john doe ,charlie@gmail,31,2020-04-20,CLOTHING,58.34,10.0,0.0,,New York,2.0,Yes
TXN-49030,Alice_Jones,bob@.com,37,05/17/2022,elctronics ,175.74,6.0,0.02,,Texas,1.0,False
TXN-48160, john doe ,,59,2021-03-18,Home & Garden,Free,0.0,0.17,,California,0.0,
TXN-73561,JANE SMITH,jane@yahoo.com,22,Unknown,CLOTHING,141.37,10.0,0.24,,,4.0,True
TXN-95754,,alice_at_hotmail.com,68,22-02-2021,Home_Garden,360.63,-2.0,0.25,,teXas,1.0,Y
TXN-84410,,,50,30-12-2020,Electronics,$491.29,7.0,0.16,3439.03,N.Y.,3.0,True
TXN-34275,Alice_Jones,jane@yahoo.com,36,,elctronics ,397.88,9.0,0.24,,TX,5.0,Yes
TXN-62127, john doe ,john@gmail.com,-5,Pending,,286.26,7.0,0.01,,TX,5.0,N
TXN-97982, john doe ,,31,23-06-2021,Electronics,240.35,1.0,0.24,,CA,1.0,
TXN-80340,bob,john@gmail.com,69,Unknown,CLOTHING,160.21,8.0,0.04,,New York,2.0,False
TXN-96677,,,39,2020-04-24,Home & Garden,219.01,7.0,0.27,,,2.0,N
TXN-87567,Alice_Jones,charlie@gmail,55,05/05/2021,Clothing,260.68,5.0,0.24,,Texas,2.0,0
TXN-48699,JANE SMITH,john@gmail.com,44,Pending,Home & Garden,232.81,1.0,0.22,,N.Y.,4.0,True
TXN-27746,,bob@.com,58,Pending,,176.8,6.0,0.08,,California,2.0,1
TXN-34904,,,32,Pending,Clothing,12.14,7.0,0.01,,california,5.0,True
TXN-59217,,bob@.com,40,2022-01-19,,472.04,7.0,0.07,,california,1.0,Yes
TXN-23075,bob,,27,Pending,Home_Garden,259.11,6.0,0.28,,California,4.0,Yes
TXN-81660,Alice_Jones,charlie@gmail,68,03-07-2022,Clothing,90.46,1.0,0.21,,N.Y.,5.0,True
TXN-68992,Alice_Jones,alice_at_hotmail.com,twenty,02-08-2021,Electronics,23.83,5.0,0.19,,CA,2.0,
TXN-37312, john doe ,charlie@gmail,54,10/16/2020,CLOTHING,371.16,6.0,0.29,,TX,3.0,0
TXN-56440,JANE SMITH,charlie@gmail,47,2020-11-14,Home & Garden,389.95,8.0,0.2,,NY,2.0,False
TXN-41684,bob,charlie@gmail,71,08-01-2022,,390.49,4.0,0.13,,N.Y.,1.0,0
TXN-68622,,,25,20-08-2022,,423.06,,0.18,,,5.0,True
TXN-99096,Charlie!,alice_at_hotmail.com,65,07/10/2022,Home_Garden,364.67,8.0,0.01,,NY,2.0,True
TXN-83063,Charlie!,bob@.com,66,07/04/2021,Electronics,407.32,9.0,0.24,,teXas,2.0,Yes
TXN-49966,bob,john@gmail.com,31,2020-07-03,elctronics ,484.29,3.0,0.18,,teXas,4.0,No
TXN-23027,bob,jane@yahoo.com,71,,elctronics ,367.5,8.0,0.27,,TX,5.0,No
TXN-66994,dave  ,jane@yahoo.com,29,2022-03-29,Electronics,95.98,9.0,0.15,,CA,3.0,
TXN-80461,,alice_at_hotmail.com,21,12/22/2020,CLOTHING,59.58,4.0,0.01,,N.Y.,3.0,1
TXN-85215,JANE SMITH,jane@yahoo.com,52,2021-12-20,elctronics ,268.4,2.0,0.21,,California,1.0,
TXN-91099,Alice_Jones,jane@yahoo.com,78,14-04-2020,CLOTHING,$264.37,7.0,0.29,26437.0,TX,3.0,0
TXN-14270, john doe ,charlie@gmail,70,01-06-2022,CLOTHING,119.49,1.0,0.28,,NY,2.0,1
TXN-68232,,jane@yahoo.com,250,2020-07-19,elctronics ,227.48,4.0,0.21,,Texas,1.0,False
TXN-59938,JANE SMITH,bob@.com,74,19-12-2021,Home_Garden,78.19,1.0,0.04,,california,3.0,Y
TXN-16467,bob,jane@yahoo.com,64,2020-03-26,Home & Garden,398.43 USD,8.0,0.07,3187.44,california,5.0,False
TXN-50044,bob,alice_at_hotmail.com,20,04-03-2021,Home_Garden,Free,3.0,0.16,,,4.0,No
TXN-97366,,bob@.com,N/A,10/11/2020,CLOTHING,339.71,3.0,0.17,,New York,3.0,True
TXN-80772,bob,,N/A,12/06/2020,Electronics,190.39,6.0,0.08,,california,1.0,Yes
TXN-73882,bob,alice_at_hotmail.com,31,08/31/2022,Electronics,54.11 USD,-2.0,0.23,-108.22,TX,3.0,False
TXN-94347, john doe ,john@gmail.com,63,Pending,,156.82,8.0,0.26,,california,2.0,True
TXN-62183,JANE SMITH,jane@yahoo.com,42,,Home_Garden,127.95,3.0,0.03,,NY,3.0,False
TXN-62407, john doe ,alice_at_hotmail.com,41,04/18/2020,Home_Garden,242.54,0.0,0.3,,,3.0,Yes
TXN-92559,JANE SMITH,bob@.com,55,06/21/2021,Clothing,325.46,10.0,0.05,,New York,3.0,1
,JANE SMITH,alice_at_hotmail.com,26,2021-05-26,elctronics ,327.06,2.0,0.22,,california,5.0,N
TXN-22913,Alice_Jones,john@gmail.com,20,22-01-2022,Home & Garden,269.75,4.0,0.25,,,3.0,Y
TXN-34247, john doe ,charlie@gmail,33,,CLOTHING,319.71,1.5,,,California,4.0,1
TXN-28865, john doe ,alice_at_hotmail.com,76,01/23/2020,Home & Garden,251.01,5.0,0.03,,california,1.0,False
TXN-70927,dave  ,,71,Unknown,Clothing,,3.0,0.14,,N.Y.,1.0,Yes
TXN-41133,Charlie!,alice_at_hotmail.com,twenty,Pending,Home_Garden,396.08,4.0,0.21,,NY,3.0,0
TXN-61334,dave  ,,42,2022-09-15,Home & Garden,442.31,10.0,0.07,,CA,1.0,No
TXN-70752, john doe ,john@gmail.com,41,2022-01-13,Clothing,395.09,1.0,0.1,,california,5.0,1
TXN-17489,dave  ,,59,24-07-2021,,262.9,1.0,0.26,,NY,4.0,False
TXN-44472,dave  ,john@gmail.com,57,05/27/2021,Electronics,68.4,0.0,0.08,,NY,5.0,False
TXN-78742, john doe ,jane@yahoo.com,32,01/20/2021,,70.01,10.0,0.27,,california,3.0,False
TXN-64413,,john@gmail.com,55,,Electronics,447.86,9.0,0.26,,,5.0,True
TXN-72295,bob,john@gmail.com,54,04-12-2021,,428.3,7.0,0.1,,teXas,3.0,False
TXN-43292,dave  ,charlie@gmail,36,13-03-2022,Electronics,334.92,4.0,0.19,,Texas,2.0,1
, john doe ,charlie@gmail,55,22-04-2022,elctronics ,369.28,-2.0,0.28,,,1.0,True
TXN-92583,dave  ,john@gmail.com,35,08/19/2022,Home_Garden,392.36,7.0,0.18,,Texas,3.0,No
TXN-23756,JANE SMITH,charlie@gmail,66,2020-10-27,elctronics ,70.59,6.0,0.07,,NY,2.0,1
TXN-33124,JANE SMITH,,37,30-08-2022,elctronics ,Free,5.0,0.05,,N.Y.,1.0,No
TXN-79689,Charlie!,charlie@gmail,56,2022-03-23,Home_Garden,189.53,8.0,0.28,,Texas,2.0,
TXN-32066, john doe ,john@gmail.com,60,28-09-2021,Clothing,426.11,4.0,0.04,,california,1.0,No
TXN-95431,Charlie!,john@gmail.com,79,2020-06-08,CLOTHING,145.88,2.0,0.26,,N.Y.,3.0,0
TXN-37992,JANE SMITH,john@gmail.com,78,08/23/2022,Home_Garden,211.79,10.0,0.21,,TX,3.0,
TXN-85908,dave  ,jane@yahoo.com,74,2021-01-24,CLOTHING,294.58,2.0,0.21,,California,-3.0,Y
TXN-26183,dave  ,alice_at_hotmail.com,,2022-01-18,Clothing,107.4,10.0,0.15,,NY,3.0,N
,Alice_Jones,,40,,elctronics ,93.32,5.0,0.06,,California,5.0,True
TXN-99259,Alice_Jones,jane@yahoo.com,64,26-02-2021,Home_Garden,482.38,9.0,0.0,,Texas,2.0,False
TXN-43654,Alice_Jones,charlie@gmail,54,30-08-2022,Clothing,127.83,5.0,0.28,,New York,3.0,False
TXN-38273,,,36,10/25/2021,CLOTHING,101.87,4.0,0.28,,,2.0,1
TXN-36549,JANE SMITH,alice_at_hotmail.com,-5,03-08-2022,Home_Garden,90.72,7.0,0.3,,Texas,4.0,Y
TXN-69434,Charlie!,,65,07/15/2020,Clothing,423.47,4.0,0.11,,teXas,5.0,Yes
TXN-98294,Alice_Jones,bob@.com,36,,Electronics,427.44,2.0,0.26,,New York,5.0,False
TXN-31934,bob,john@gmail.com,52,Unknown,Electronics,61.79,8.0,0.3,,Texas,4.0,False
TXN-60706,JANE SMITH,bob@.com,38,08/02/2022,CLOTHING,450.41,7.0,0.02,,New York,2.0,True
TXN-50132,JANE SMITH,john@gmail.com,50,21-02-2021,,347.82,9.0,0.07,,,2.0,No
TXN-14491,Charlie!,charlie@gmail,34,07-04-2020,elctronics ,196.07,7.0,0.0,,CA,1.0,0
TXN-58369,Charlie!,,47,05/03/2022,elctronics ,Free,2.0,0.25,,CA,5.0,False
TXN-99462,bob,jane@yahoo.com,70,Pending,Home_Garden,498.53,10.0,0.14,,N.Y.,,
TXN-95886,JANE SMITH,,47,2021-02-20,Home_Garden,$115.3,4.0,0.29,461.2,Texas,3.0,True
TXN-95105,Alice_Jones,john@gmail.com,79,,elctronics ,369.79,2.0,0.25,,teXas,5.0,Yes
TXN-10230,JANE SMITH,jane@yahoo.com,42,03/10/2020,,,7.0,0.27,,california,2.0,Y
TXN-20040,Charlie!,charlie@gmail,57,16-08-2021,,217.51,6.0,0.2,,California,3.0,Y
TXN-72165,,,49,Unknown,Home & Garden,177.63,6.0,0.15,,New York,1.0,N
TXN-38863,Alice_Jones,,67,Pending,Home_Garden,270.64,2.0,0.1,,Texas,1.0,
TXN-18319,bob,alice_at_hotmail.com,24,22-03-2022,,393.94,,0.1,,CA,4.0,False
,dave  ,charlie@gmail,35,Pending,Electronics,223.82,6.0,0.19,,NY,3.0,1
TXN-26457,bob,,31,,CLOTHING,238.74,4.0,0.18,,New York,5.0,True
TXN-45941,,john@gmail.com,46,17-01-2022,Home & Garden,383.43,1.0,0.14,,teXas,3.0,False
TXN-40865,dave  ,charlie@gmail,64,25-07-2020,Electronics,276.31,0.0,0.25,,N.Y.,3.0,True
TXN-49696,dave  ,,62,,Electronics,202.58,9.0,0.05,,Texas,2.0,
TXN-71564,Charlie!,jane@yahoo.com,78,Pending,CLOTHING,70.25,6.0,0.07,,teXas,1.0,0
TXN-70280,dave  ,john@gmail.com,18,09-11-2021,Home & Garden,48.78,6.0,0.11,,california,4.0,Yes
TXN-11511,,john@gmail.com,58,2020-09-04,Electronics,329.42,1.0,0.14,,teXas,2.0,False
TXN-82296,,,250,07-10-2020,Electronics,165.42,3.0,0.11,,CA,4.0,True
TXN-98503, john doe ,jane@yahoo.com,,2021-02-09,Home_Garden,253.96,0.0,0.02,,NY,5.0,True
TXN-67901,JANE SMITH,bob@.com,56,,elctronics ,134.85,6.0,0.04,,teXas,2.0,False
TXN-10914,,charlie@gmail,64,Pending,Home_Garden,$237.04,6.0,0.03,1422.24,New York,5.0,N
TXN-98924,dave  ,bob@.com,36,Unknown,Electronics,364.96,0.0,0.19,,NY,2.0,True
TXN-55937,bob,john@gmail.com,29,2022-02-06,Home_Garden,439.65,9.0,0.02,,Texas,1.0,1
TXN-84396,JANE SMITH,jane@yahoo.com,68,2020-06-20,Home & Garden,236.52,1.0,0.19,,NY,4.0,True
TXN-44272,JANE SMITH,bob@.com,54,2022-03-07,,98.75,6.0,0.13,,California,-3.0,False
TXN-45841,,jane@yahoo.com,44,2020-07-11,Clothing,22.81,1.0,0.14,,California,3.0,
TXN-61188,dave  ,alice_at_hotmail.com,66,12-12-2020,Electronics,449.43,1.0,0.17,,,4.0,True
,JANE SMITH,,31,2021-03-23,CLOTHING,411.13,1.5,0.06,,CA,1.0,
TXN-37474,Charlie!,bob@.com,40,08/22/2021,,426.09,10.0,0.23,,NY,2.0,1
TXN-68137, john doe ,john@gmail.com,26,07/05/2021,CLOTHING,,1.0,0.06,,California,5.0,Y
TXN-25323,bob,bob@.com,62,04-09-2020,CLOTHING,404.74,7.0,0.21,,N.Y.,1.0,N
TXN-47130,JANE SMITH,charlie@gmail,37,Pending,,399.33,6.0,0.17,,california,5.0,
TXN-97100,dave  ,bob@.com,57,07/20/2022,Home_Garden,256.51,4.0,0.28,,California,1.0,1
,JANE SMITH,,44,05/21/2022,Home_Garden,176.2,1.0,0.03,,teXas,1.0,True
TXN-87154,,alice_at_hotmail.com,46,,elctronics ,312.19,2.0,0.18,,CA,,False
TXN-12941,bob,john@gmail.com,68,2020-04-16,elctronics ,254.09,2.0,0.16,,NY,2.0,False
,,charlie@gmail,20,11-09-2021,,,1.5,0.2,,New York,4.0,True
TXN-98246,dave  ,bob@.com,60,,CLOTHING,$401.97,8.0,0.06,3215.76,,1.0,True
TXN-79569,,john@gmail.com,63,01/17/2022,Home & Garden,408.92,5.0,0.01,,teXas,5.0,True
TXN-91735,Charlie!,john@gmail.com,39,2020-10-09,elctronics ,76.03,9.0,0.27,,TX,2.0,True
TXN-10510,JANE SMITH,john@gmail.com,60,20-10-2020,Home & Garden,Free,1.0,0.3,,TX,3.0,False
TXN-48884,JANE SMITH,alice_at_hotmail.com,66,10/14/2021,Clothing,Free,4.0,0.14,,California,3.0,
TXN-59395,dave  ,bob@.com,62,2022-04-19,elctronics ,204.65,5.0,0.05,,teXas,5.0,1
TXN-48931,dave  ,alice_at_hotmail.com,26,Unknown,CLOTHING,427.95 USD,6.0,0.15,2567.7,california,5.0,N
TXN-59354,Alice_Jones,bob@.com,twenty,12/29/2020,Clothing,381.49,8.0,0.28,,NY,1.0,Y
TXN-44940, john doe ,john@gmail.com,62,04/07/2021,,33.25,3.0,0.14,,,2.0,False
TXN-84277,Charlie!,bob@.com,,03/13/2021,elctronics ,303.39,5.0,0.24,,,2.0,False
TXN-42475,Charlie!,john@gmail.com,48,29-04-2022,elctronics ,494.65,3.0,0.12,,,1.0,1
,bob,jane@yahoo.com,52,2021-03-09,,249.19,9.0,0.11,,New York,1.0,No
TXN-70475,JANE SMITH,,47,09-06-2021,CLOTHING,213.05,8.0,0.04,,Texas,1.0,Y
TXN-74697,,alice_at_hotmail.com,23,Pending,Home_Garden,121.59,,0.01,,Texas,3.0,Yes
TXN-95591,bob,,40,Unknown,Home_Garden,356.18,7.0,0.07,,New York,4.0,No
